Site;SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-17 16:00:00;21;79.4;41.7;53.1
2023-01-17 17:00:00;20;79.9;43.2;53.7
2023-01-17 18:00:00;24;79.7;39.3;51.6
2023-01-17 19:00:00;17;79.8;39.2;49.6
2023-01-17 20:00:00;26;80.3;44.9;58.7
2023-01-17 21:00:00;22;79.8;41.1;52.7
2023-01-17 22:00:00;21;80.0;42.1;54.2
2023-01-17 23:00:00;3;72.6;36.5;44.0
2023-01-18 00:00:00;8;75.9;27.7;34.0
2023-01-18 01:00:00;9;75.3;28.5;34.1
2023-01-18 02:00:00;8;76.0;28.1;34.0
2023-01-18 03:00:00;8;75.5;28.0;34.0
2023-01-18 04:00:00;21;79.5;38.9;50.9
2023-01-18 05:00:00;7;77.2;28.0;34.0
2023-01-18 06:00:00;37;80.8;46.5;65.0
2023-01-18 07:00:00;19;80.3;42.9;53.6
2023-01-18 08:00:00;26;80.4;43.5;57.0
2023-01-18 09:00:00;23;79.9;39.5;51.5
2023-01-18 10:00:00;15;79.9;39.9;49.2
2023-01-18 11:00:00;22;80.1;42.3;54.3
2023-01-18 12:00:00;18;79.6;37.4;48.1
2023-01-18 13:00:00;16;78.5;33.6;41.8
2023-01-18 14:00:00;36;81.0;46.4;65.0
2023-01-18 15:00:00;17;80.0;40.3;50.1
2023-01-18 16:00:00;23;80.4;44.2;56.5
2023-01-18 17:00:00;22;79.8;40.7;52.2
2023-01-18 18:00:00;26;80.5;41.5;54.8
2023-01-18 19:00:00;23;80.0;39.4;51.4
2023-01-18 20:00:00;16;80.1;39.2;48.5
2023-01-18 21:00:00;32;80.7;45.6;62.3
2023-01-18 22:00:00;16;79.8;41.9;51.7
2023-01-18 23:00:00;3;73.8;36.5;44.2
2023-01-19 00:00:00;11;76.6;28.6;34.8
2023-01-19 01:00:00;25;79.9;37.5;52.0
2023-01-19 02:00:00;10;78.9;31.4;38.4
2023-01-19 03:00:00;10;77.2;29.0;35.3
2023-01-19 04:00:00;10;77.0;29.0;35.2
2023-01-19 05:00:00;9;77.0;29.0;35.2
2023-01-19 06:00:00;41;81.6;44.5;65.0
2023-01-19 07:00:00;28;81.7;48.0;62.9
2023-01-19 08:00:00;26;80.9;39.9;52.7
2023-01-19 09:00:00;20;81.0;40.2;51.3
2023-01-19 10:00:00;32;81.5;44.7;60.6
2023-01-19 11:00:00;26;81.0;41.5;55.8
2023-01-19 12:00:00;17;80.4;37.6;47.6
2023-01-19 13:00:00;15;79.8;34.0;41.8
2023-01-19 14:00:00;36;81.7;45.1;63.4
2023-01-19 15:00:00;18;81.5;42.2;52.7
2023-01-19 16:00:00;25;81.0;43.8;56.4
2023-01-19 17:00:00;24;80.9;40.9;53.9
2023-01-19 18:00:00;19;81.0;38.8;49.4
2023-01-19 19:00:00;32;81.6;45.8;62.4
2023-01-19 20:00:00;23;80.7;40.9;53.2
2023-01-19 21:00:00;19;80.8;39.6;50.3
2023-01-19 22:00:00;29;81.6;49.0;64.7
2023-01-19 23:00:00;5;75.0;33.4;40.6
2023-01-20 00:00:00;10;77.4;29.6;35.5
2023-01-20 01:00:00;10;78.0;29.1;35.6
2023-01-20 02:00:00;23;80.1;36.2;49.2
2023-01-20 03:00:00;12;79.9;33.8;42.0
2023-01-20 04:00:00;10;78.2;29.0;35.7
2023-01-20 05:00:00;10;78.0;29.8;35.8
2023-01-20 06:00:00;40;82.5;45.4;65.0
2023-01-20 07:00:00;29;82.9;48.7;64.3
2023-01-20 08:00:00;26;82.2;41.0;54.0
